Origin,Destination,Travel Time,Kilometers
178,158,14.57863189,8.467836167
178,982,14.77004335,8.616830741
178,499,14.88887244,8.501586129
178,999,14.95406041,10.09329249
178,438,15.19213375,9.867356163
178,450,15.30409761,9.793658341
178,490,15.32268679,9.499055483
178,218,15.32571111,10.08306975
178,275,15.35416072,9.529336597
178,168,15.43138884,8.585867151
178,212,15.45597154,8.846964788
178,488,15.52927068,9.844744204
178,455,15.94962521,10.23568119
178,605,15.99450646,10.23054495
178,516,16.18281925,10.06100308
178,394,16.58207498,11.2032355
178,383,17.34892805,11.02016441
178,984,18.84246728,11.86438257
178,604,19.7658118,12.81939302
178,301,20.95680742,13.43238106
178,971,23.30076258,17.88006511
178,181,24.23015151,18.34748783
178,161,24.65328657,18.68527884
178,292,26.35342629,19.65842596
178,509,27.50406445,32.04029838
178,150,27.62373351,32.09355817
178,981,28.06508549,34.93302478
178,258,28.34995143,32.65354027
178,424,28.64990899,35.13456707
178,179,28.71325367,21.11725457
178,110,29.3574454,35.74203868
178,419,30.50230624,36.5474045
178,522,31.70199563,39.18584171
178,117,32.8199124,39.59698196
179,179,0,0
179,258,2.041527805,0.975792667
179,292,3.880577729,2.068780437
179,150,4.132548167,2.024734513
179,424,4.135666938,2.224669494
179,161,4.848076338,2.633834107
179,181,5.739092692,3.191366171
179,509,6.30368806,4.125795968
179,981,7.088318125,5.001241539
179,971,7.644537333,4.34045442
179,110,7.926647285,6.415270736
179,522,8.904325386,7.812556049
179,419,9.525538877,6.615621257
179,117,10.02224216,8.223696296
179,301,13.3903047,9.615123377
179,438,16.11949839,10.98257886
179,275,16.3332085,11.62278837
179,533,16.69915886,11.78502421
179,423,17.48681349,13.97665236
179,490,17.7199672,13.22566372
179,801,18.83598273,14.99716792
179,248,19.76736234,14.85022222
179,212,21.63455122,15.67120551
179,436,21.64271458,16.46505857
179,477,21.68820223,16.50326175
179,464,22.58569562,16.86177601
179,451,23.30532482,17.54915632
179,457,23.36631116,25.96289588
179,488,24.41230172,20.29526553
179,499,24.65967449,18.24908216
179,455,24.83265625,20.68620252
179,605,24.8775375,20.68106628
179,168,25.08360507,18.25453736
179,328,25.1522917,29.7032407
179,192,25.67770997,18.45354889
179,383,26.23195909,21.47068574
179,750,27.03448401,31.19031547
179,412,27.29914384,31.27872364
179,190,27.39677322,26.58391112
179,218,27.55204593,23.2023828
179,223,27.70696802,31.59114028
179,479,27.77099595,23.08418398
