ObjectID,Total_TravelTime,Total_Kilometers,Origin_School,Dest_School,,,
236,12.84781003,8.685746486,438,190,628,,
237,13.06796048,9.257753648,438,509,947,,
238,13.40016542,9.340291447,438,292,730,,
239,13.59246878,9.436955432,438,168,606,,
240,13.65697994,9.33597613,438,499,937,,
241,14.58011021,9.616890964,438,179,617,,
242,14.69120468,9.643974879,438,178,616,,
243,14.69120468,9.643974879,438,252,690,,
244,14.95190158,9.61835613,438,497,935,,
245,15.10223584,14.41961457,438,981,1419,,
246,15.38765799,12.12517192,438,150,588,,
247,15.49599416,12.34315156,438,258,696,,
248,15.62333161,9.894686147,438,682,1120,,
249,16.00367042,10.10186986,438,602,1040,,
250,16.04452438,15.05185837,438,424,862,,
251,16.944979,15.84464061,438,110,548,,
252,16.944979,15.84464061,438,532,970,,
253,17.22016504,16.88114159,438,522,960,,
254,17.36617408,10.81162445,438,278,716,,
255,17.90422796,16.28182817,438,419,857,,
256,18.42551046,15.6933311,438,455,893,,
257,19.6879436,16.97997768,438,605,1043,,
258,19.71294168,16.42880651,438,488,926,,
259,19.78843886,12.05273927,438,412,850,,
260,19.92201636,19.26791246,438,117,555,,
261,20.08058009,12.58507152,438,437,875,,
262,20.3335463,16.83248332,438,383,821,,
263,20.42020325,11.52189832,438,0,438,,
264,21.24416324,12.47292737,438,479,917,,
265,21.24416324,12.47292737,438,478,916,,
266,21.48736725,12.98815742,438,328,766,,
267,21.94495951,13.14368555,438,223,661,,
268,22.55759583,15.09791651,438,203,641,,
269,22.62710387,15.90705708,438,457,895,,
270,22.62710387,15.90705708,438,750,1188,,
271,23.03335366,15.29176677,438,405,843,,
272,23.1116638,13.32494433,438,218,656,,
273,23.17722011,21.24075791,438,426,864,,
274,23.6441808,23.60076386,438,461,899,,
275,23.78030072,15.62665253,438,264,702,,
276,24.1116855,21.63432728,438,415,853,,
277,24.1116855,21.63432728,438,999,1437,,
278,24.66286581,14.35667103,438,515,953,,
279,25.70614869,21.89301164,438,473,911,,
280,27.62962656,23.35083465,438,316,754,,
281,27.75129588,23.25049884,438,516,954,,
282,27.81404254,23.0982347,438,408,846,,
283,27.81404254,23.0982347,438,158,596,,
284,30.11179956,26.03113942,438,982,1420,,
285,30.97350124,25.50665646,438,450,888,,
