ObjectID,ODLines1_Total_TravelTime,ODLines1_Total_Kilometers,ODLines1_Origin_School,ODLines1_Destination_School
329,28.46706646,26.22611108,258,515
330,28.62419041,23.02464093,258,682
331,29.00452921,23.23182465,258,602
332,29.15088229,34.53128128,258,278
333,29.29493636,27.60344846,258,473
334,31.21841423,29.06127146,258,316
335,31.34008355,28.96093565,258,516
336,31.4028302,28.80867151,258,408
337,33.33578402,35.32558512,258,984
338,33.70058723,31.74157623,258,982
339,34.56228891,31.21709327,258,450
340,35.12532883,31.62599291,258,604
341,0,0,179,179
342,2.347722989,1.329016763,179,258
343,2.874094117,1.576442454,179,150
344,3.576249649,1.792165555,179,292
345,4.867431519,2.148402102,179,161
346,5.425943385,3.232378329,179,424
347,5.628378401,3.392000418,179,181
348,6.422221848,3.687025539,179,971
349,6.832046582,4.636457659,179,981
350,8.459262392,6.305146141,179,522
351,8.674789741,6.0614837,179,110
352,9.634038697,6.498671263,179,419
353,11.16111371,8.691917004,179,117
354,11.63952632,7.318220378,179,301
355,12.43161482,10.37739742,179,509
356,14.85027356,10.26352154,179,438
357,14.88901658,11.57903799,179,533
358,15.06869931,11.36911287,179,275
359,16.49372732,12.60739097,179,490
360,17.59809289,13.79741364,179,423
361,17.69423299,13.72364388,179,477
362,17.69423299,13.72364388,179,801
363,17.84666654,14.06528179,179,192
364,18.38899841,13.90593544,179,212
365,18.82643657,14.81119445,179,248
366,19.89087311,15.52265699,179,464
367,20.21358122,15.71405608,179,436
368,20.48269822,15.66753244,179,451
369,22.20017025,19.23032589,179,455
370,22.74154706,16.28814572,179,499
371,22.77529675,17.10759614,179,168
372,23.46260339,20.51697247,179,605
373,23.48760146,19.9658013,179,488
374,23.72968782,26.75302813,179,457
375,23.72968782,26.75302813,179,750
376,24.10820608,20.3694781,179,383
377,25.17762091,28.72249419,179,328
378,25.56679678,18.54691374,179,891
379,25.90007611,18.58291412,179,214
380,26.35649404,30.20661298,179,412
381,26.58864251,19.61054755,179,190
382,26.77719666,23.83254518,179,479
383,26.77719666,23.83254518,179,478
384,26.9518799,24.77775269,179,426
385,27.10173658,23.02094235,179,218
386,27.23140376,26.63775688,179,461
387,27.57583081,24.64727554,179,0
388,27.88634528,25.17132206,179,415
389,28.13863249,20.57486889,179,497
390,28.43203717,20.56877595,179,178
391,28.43203717,20.56877595,179,252
392,28.51301468,31.29755926,179,223
393,28.65293858,24.05266906,179,515
394,28.81006253,20.8511989,179,682
395,29.01694612,34.05120525,179,203
396,29.19040133,21.05838262,179,602
397,29.48080848,25.43000643,179,473
398,29.49270394,34.24505551,179,405
399,30.22338112,27.33277371,179,437
400,30.23965101,34.57994127,179,264
401,31.14847064,35.53597412,179,278
402,31.40428635,26.88782943,179,316
403,31.52595567,26.78749362,179,516
404,31.58870232,26.63522948,179,408
405,33.88645935,29.5681342,179,982
406,34.7481611,29.04365124,179,450
407,35.31120095,29.45255088,179,604
408,35.33337238,36.33027795,179,984
409,0,0,424,424
410,2.507407087,2.052794502,424,981
411,3.423419425,2.174741097,424,258
412,3.857378745,2.295172043,424,150
413,4.350150247,3.477820543,424,110
414,5.034638838,4.511860453,424,522
415,5.246482268,2.912182504,424,179
416,5.309399202,3.915008106,424,419
417,7.315675706,4.276841294,424,292
418,7.736490156,6.898631316,424,117
419,8.393610415,6.430305378,424,161
420,8.436723813,6.75561871,424,971
421,8.523819258,7.982113494,424,181
422,10.66088002,9.637636025,424,509
423,11.68050775,9.756593847,424,301
424,14.89125499,12.70189501,424,438
425,14.92999801,14.01741146,424,533
426,15.10968074,13.80748634,424,275
427,16.53470875,15.04576444,424,490
428,17.63907432,16.23578711,424,423
429,17.73521442,16.16201735,424,477
430,17.73521442,16.16201735,424,801
431,18.09203102,16.76319798,424,192
432,18.42997984,16.34430891,424,212
433,19.07180105,17.50911064,424,248
434,19.93185454,17.96110046,424,464
435,20.25456265,18.15242955,424,436
436,20.52367965,18.10590591,424,451
437,21.95895302,26.01326673,424,457
438,21.95895302,26.01326673,424,750
439,22.24115168,21.66869936,424,455
440,22.7825285,18.72651919,424,499
441,22.81627818,19.54596961,424,168
442,23.4068861,27.98273279,424,328
443,23.50358482,22.95534594,424,605
444,23.52858289,22.40417477,424,488
445,24.14918752,22.80785157,424,383
446,24.58575923,29.46685159,424,412
447,25.60777821,20.98528721,424,891
448,25.94105754,21.02128759,424,214
449,26.62962395,22.04892102,424,190
450,26.74227988,30.55779787,424,223
451,26.81817809,26.27091865,424,479
452,26.81817809,26.27091865,424,478
453,26.99286133,27.21612616,424,426
454,27.14271801,25.45931582,424,218
455,27.24621132,33.31144386,424,203
456,27.27238519,29.07613035,424,461
457,27.61681224,27.08564901,424,0
458,27.72196914,33.50529412,424,405
459,27.92732672,27.60969553,424,415
460,28.10826087,33.48592876,424,178
461,28.10826087,33.48592876,424,252
462,28.17961392,23.01324236,424,497
463,28.46891621,33.84017988,424,264
464,28.49034959,34.8441652,424,437
465,28.69392001,26.49104252,424,515
466,28.85104396,23.28957237,424,682
467,29.23138276,23.49675609,424,602
468,29.37773584,34.79621272,424,278
469,29.52178991,27.8683799,424,473
470,31.44526778,29.3262029,424,316
471,31.5669371,29.22586709,424,516
472,31.62968375,29.07360295,424,408
473,33.56263758,35.59051656,424,984
474,33.92744078,32.00650767,424,982
475,34.78914246,31.48202471,424,450
476,35.35218238,31.89092435,424,604
477,0,0,301,301
478,5.724982625,3.686269372,301,438
479,5.798267728,3.703195635,301,181
480,8.625515512,5.12063724,301,971
481,8.740141079,5.19462362,301,161
482,8.874047871,6.0190518,301,533
483,9.053730601,5.809126684,301,275
484,9.544667932,6.202747312,301,292
485,10.00725478,7.207947381,301,509
486,10.87779214,7.036586055,301,179
487,11.41555838,11.43291271,301,981
488,11.67926429,8.163657692,301,477
489,11.67926429,8.163657692,301,801
490,11.70098053,9.138470065,301,150
491,11.72938343,8.352624332,301,423
492,11.8093167,9.356449704,301,258
493,11.83169783,8.505295598,301,192
494,12.35784692,12.06515652,301,424
495,12.81146787,9.251208258,301,248
496,13.18734391,8.39602011,301,451
497,13.25830154,12.85793875,301,110
498,13.41837718,9.203765506,301,490
499,13.53348759,13.89443974,301,522
500,13.67152135,9.703128075,301,464
501,13.79307529,9.445277493,301,212
502,13.99422946,9.894527162,301,436
503,14.2175505,13.29512632,301,419
504,16.2353389,16.2812106,301,117
505,16.555945,11.28806722,301,168
506,16.62045615,11.18708792,301,499
507,17.90681284,11.77747024,301,190
508,18.45395169,11.30733287,301,214
509,18.53207313,11.24356909,301,891
510,20.51504753,17.84799114,301,455
511,20.95145253,13.30468596,301,497
512,21.24485721,13.29859302,301,178
513,21.24485721,13.29859302,301,252
514,21.30532778,23.58357809,301,457
515,21.30532778,23.58357809,301,750
516,21.62288257,13.58101598,301,682
517,21.77748067,19.13463772,301,605
518,21.80247874,18.58346655,301,488
519,22.00322138,13.78819969,301,602
520,22.42308336,18.98714335,301,383
521,22.75326086,25.55304415,301,328
522,23.5756749,14.50808464,301,278
523,23.93213399,27.03716295,301,412
524,25.09207394,22.45021043,301,479
525,25.09207394,22.45021043,301,478
526,25.26675718,23.39541794,301,426
527,25.41661385,21.63860761,301,218
528,25.5462811,25.25542213,301,461
529,25.89070809,23.26494079,301,0
530,26.08013104,16.27140135,301,437
531,26.08865464,28.12810922,301,223
532,26.20122256,23.78898732,301,415
533,26.59258608,30.88175521,301,203
534,26.96781586,22.67033431,301,515
535,27.0683439,31.07560547,301,405
536,27.79568576,24.04767168,301,473
537,27.81529097,31.41049124,301,264
538,29.71916363,25.50549469,301,316
539,29.84083294,25.40515887,301,516
540,29.9035796,25.25289473,301,408
541,32.20133662,28.18579946,301,982
542,32.90901234,33.16082791,301,984
543,33.0630383,27.66131649,301,450
544,33.62607823,28.07021613,301,604
545,0,0,522,522
546,2.066894084,1.58988788,522,110
547,3.516315703,2.772276016,522,117
548,3.803105886,3.075892459,522,981
549,4.463372078,3.339418964,522,419
550,5.368485444,4.776840126,522,424
551,7.763207869,6.340655272,522,258
552,8.197167189,6.461086218,522,150
553,8.551488133,6.28329428,522,179
554,8.826033112,7.319394343,522,292
555,10.59413073,8.944336053,522,161
556,10.64774792,11.24667453,522,971
557,10.73484336,12.47316932,522,181
558,12.87190412,14.12869185,522,509
559,13.89153185,14.24764967,522,301
560,17.10227909,17.19295084,522,438
561,17.14102211,18.50846728,522,533
562,17.32070484,18.29854217,522,275
563,18.74573286,19.53682026,522,490
564,19.85009843,20.72684293,522,423
565,19.94623853,20.65307317,522,477
566,19.94623853,20.65307317,522,801
567,20.30305512,21.25425381,522,192
568,20.64100395,20.83536473,522,212
569,21.28282516,22.00016647,522,248
570,22.14287864,22.45208629,522,464
571,22.46558676,22.64348537,522,436
572,22.73470376,22.59696173,522,451
573,24.16997712,30.50432256,522,457
574,24.16997712,30.50432256,522,750
575,24.45217578,26.15975518,522,455
576,24.9935526,23.21757501,522,499
577,25.02730229,24.03702543,522,168
578,25.61791021,32.47378862,522,328
579,25.71460892,27.44640176,522,605
580,25.739607,26.89523059,522,488
581,26.36021162,27.2989074,522,383
582,26.79678334,33.95790741,522,412
583,27.63302205,44.36312177,522,461
584,27.81880231,25.47634304,522,891
585,28.15208164,25.51234341,522,214
586,28.84064805,26.53997685,522,190
587,28.95330398,35.04885369,522,223
588,29.02920219,30.76197447,522,479
589,29.02920219,30.76197447,522,478
590,29.20388543,31.70718199,522,426
591,29.35374211,29.95037165,522,218
592,29.45723542,37.80249968,522,203
593,29.82783635,31.57670483,522,0
594,29.93299324,37.99634994,522,405
595,30.13835082,32.10075136,522,415
596,30.31928497,37.97698458,522,178
597,30.31928497,37.97698458,522,252
598,30.39063803,27.50429818,522,497
599,30.67994031,38.33123571,522,264
600,30.70137369,39.3352211,522,437
601,30.90494412,30.98209835,522,515
602,31.06206806,27.7806282,522,682
603,31.44240687,27.98781191,522,602
604,31.58875994,39.28726855,522,278
605,31.73281401,32.35943572,522,473
606,33.65629188,33.81725873,522,316
607,33.7779612,33.71692292,522,516
608,33.84070786,33.56465878,522,408
609,35.77366168,40.08157238,522,984
610,36.13846488,36.4975635,522,982
611,37.00016656,35.97308054,522,450
612,37.56320648,36.38198017,522,604
613,0,0,450,450
614,1.533751716,0.830365914,450,604
615,3.100724737,1.913416668,450,984
616,4.995142771,2.623991272,450,516
617,5.429501694,2.812160414,450,408
618,6.775308769,4.531004032,450,982
619,7.56398386,4.49226968,450,264
620,7.955534605,4.875433155,450,405
621,8.569136053,5.227898069,450,203
622,9.20578512,6.74515561,450,316
623,9.621811828,5.36864107,450,473
624,10.12852198,5.983941834,450,426
625,10.36005457,5.588852087,450,415
626,11.13484892,7.279809536,450,437
627,11.67545911,7.443307982,450,412
628,11.72608394,7.414468628,450,479
629,11.72608394,7.414468628,450,478
630,11.96463518,8.274457165,450,0
631,12.29399645,7.10239401,450,218
632,12.48059981,7.551045822,450,223
633,13.00059589,9.261967759,450,515
634,13.63805605,8.784159651,450,278
635,14.51566257,9.120811077,450,328
636,14.83921461,9.568819379,450,178
637,14.83921461,9.568819379,450,252
638,15.02801156,9.549968475,450,602
639,15.11639674,9.320896793,450,488
640,15.34978422,9.725242822,450,497
641,15.73384677,9.7691865,450,682
642,16.02532651,12.42759153,450,457
643,16.02532651,12.42759153,450,750
644,16.05369116,9.829432202,450,383
645,16.2596631,9.957134436,450,455
646,18.56645887,11.47911396,450,214
647,20.1298715,15.81444094,450,190
648,20.85613951,14.96977822,450,605
649,20.8956679,13.84078327,450,891
650,24.06485255,16.16285205,450,499
651,24.07215691,14.70456347,450,168
652,25.64451636,18.86542829,450,451
653,25.94903013,16.28805757,450,436
654,26.30174436,16.51684295,450,464
655,26.4353222,21.56809273,450,490
656,26.52076936,20.9144237,450,248
657,26.75661528,20.67234345,450,212
658,27.11990408,21.38487974,450,192
